Matricule,Année,PriorityStrategique,Description,Ponderation,IndicateurResultat,Resultat,Commentaire
00005,2023,Responsabilité Sociétale d'Entreprise,Identifier et mettre en place les actions pour honorer l'engagement RSE concernant la satisfaction clients et des consommateurs finaux (question centrale n°06),20,Le taux d'avancement des actions identifiées et prévues en 2023 sur les enquêtes de satisfaction est de 100% au 31/12/23 partiellement atteint si >=75% pas atteint si <75%,0,Taux de réalisation à 75% des actions
00005,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00005,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00005,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00006,2023,Robustesse Opérationnelle,"Gestion agenda DAF (gestion des rdv internes et externes, gestiondes déplacements et autres tâches administratives besoin d'assistantce exp: visa, permis)",35,,0,
00006,2023,Robustesse Opérationnelle,"Organisation de communication vers ou depuis l""équipe (intermédiaire,entre DAF et l'équipe, entre DAF et les autres départemens, suivi congé de l'équipe, note de )",10,,0,
00006,2023,Robustesse Opérationnelle,"Gestion administrative des achats pour les budgets DAF et services généraux (DA, BC et réception)",10,,0,
00006,2023,Robustesse Opérationnelle,Gestion des missions pour l'ensemble du département,10,,0,
00006,2023,Performance Financière,"Gestion des courriers et factures arrivées (enregistrement sur le système, suivi circuits de validation jusqu'au paiement)",25,,0,
00006,2023,Performance Financière,,0,,0,
00006,2023,Performance Financière,,0,,0,
00006,2023,Performance Financière,,0,,0,
00006,2023,Responsabilité Sociétale d'Entreprise,"Réduction usage des papiers, gestion usage d'électricité de l'équipe",10,,0,
00006,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00006,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00006,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00010,2023,Robustesse Opérationnelle,Améliorer le suivi et circuit de facturation du département projet,30,Tableau de suivi des facturations à jour tous les mois mise à jour des KPI suivi de budget par le CDT,0,
00010,2023,Robustesse Opérationnelle,Améliorer le suivi de nos échanges externes-courriers physiques notamment,15,Mise en place et maintien à jour d'un tableau de suivi des courriers de la direction,0,
00010,2023,Robustesse Opérationnelle,Améliorer le classement des dossiers physiques de l'équipe projet - l'arborescence de ce classement sera défini par le CDT,15,Classement à jour tous les mois et complets,0,
00010,2023,Robustesse Opérationnelle,,0,,0,
00010,2023,Performance Financière,Suivi de nos consommables bureautiques de la Direction technique,10,,0,
00010,2023,Performance Financière,,0,,0,
00010,2023,Performance Financière,,0,,0,
00010,2023,Performance Financière,,0,,0,
00010,2023,Responsabilité Sociétale d'Entreprise,Participer activement à l'organisation des évènements de cohésion et séminaires de la Direction,15,2 évènements organisés ave succès dans l'année,0,
00010,2023,Responsabilité Sociétale d'Entreprise,Participer aux évènements RSE de la société,15,Participation à 2 évènements organisés par la DQHSE,0,
00010,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00010,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00011,2023,Robustesse Opérationnelle,animation de la gouvernance,20,"- préparation des réunions, structuration des documents et suivi des plans d'action CODIR (10%)
- assurer la logistique des CA, CS et visites actionnaires (10%)

appréciation qualitative du DG",0,L'ensemble des taches a été réalisé à 100%. Le CA a emis un avis global très positif pour l'ensemble de l'organisation
00011,2023,Robustesse Opérationnelle,"Edition de fiche reflèxe destinées à chaque direction pour les procedures TSA, trajet, courriers, suivi des reunions DOP.",20,"Mise en place de procedures internes facilitant l'autonomie des activités.
4 procédures à fin aout.",0,Le suivi et la formalisation des taches présenté avec clarté pour une appropriation facilitée de chaque
00011,2023,Robustesse Opérationnelle,,0,,0,
00011,2023,Robustesse Opérationnelle,,0,,0,
00011,2023,Performance Financière,Supervision et accompagnement du suivi budgetaire de la DOP pour l'activité landside,20,"passation au chef de dpt landise du suivi budgétaire sur les items nettoyage. 
50 % fin juin 50 % total en septembre",0,Finalisation de l'ensemble de la passation conforme à la demande avec un leger retard mais non pris en compte en raison du volume d'éléments à transmettre.
00011,2023,Performance Financière,suivi des coûts CA et visites actionnaires,10,assurer le bon suivi des coûts d'organasition CA et CS et la bonne refacturation des éléments refacturables (visites hors CA et CS),0,Suivi budgetaire à jour et conforme à la réalisation à fin decembre.
00011,2023,Performance Financière,,0,,0,
00011,2023,Performance Financière,,0,,0,
00011,2023,Responsabilité Sociétale d'Entreprise,Recherche et proposition de remplacement de la consommation des bouteilles d'eau pour toute l'entreprise,20,Plus de bouteille d'eau d'ici fin novembre ( en collaboration avec d'autres directions RH - DRSE - COMM),0,mise en place de gourdes personnalisées et de fontaine pour les réunions internes.
00011,2023,Responsabilité Sociétale d'Entreprise,assister la COM pour la préparation des évènements de la fête nationale et du gala entreprise,10,feedback COM,0,Retour positif de la com pour le support d'organisation.
00011,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00011,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00012,2023,Robustesse Opérationnelle,Assurer la disponibilité des infrastructures et équipements dans son périmètre,25,"Atteint si le taux de disponibilité moyen des équipements suivant est > 95% sur l'année, pour les deux sites:
- Eclairage Tarmac 1 et 2 et NOS
- UPS",0,
00012,2023,Robustesse Opérationnelle,Limité les incidents majeurs au sein de l'aéroport,25,Atteint si aucun incident majeur dans le périmètre d'intervention de la maintenance Ravinala n'impacte des biens ou des personnes,0,
00012,2023,Robustesse Opérationnelle,Mise en place des nouveaux contrats de maintenance,15,"Atteint si le contrat de maintenance suivants est effectifs : 
- UPS NOS/TA TB/Bâtiment annexe pour fin 1er semestre 2023 (fin juin 2023)",0,
00012,2023,Robustesse Opérationnelle,,0,,0,
00012,2023,Performance Financière,Mise en place d'un contrat cadre pour les achats des PDR en éléctricité,15,Atteint si un ou des contrats cadres sont en place pour permettre l'achat de 35% du montant prévisionnel de pièces de rechanges en éléctricité - OPEX B23,0,
00012,2023,Performance Financière,Respect de la plannification des dépenses en OPEX,10,atteint si le taux de respect mensuel suivant le planning de dépense de son service est supérieur à 75%,0,
00012,2023,Performance Financière,,0,,0,
00012,2023,Performance Financière,,0,,0,
00012,2023,Responsabilité Sociétale d'Entreprise,Diminution de la consommation Energetique,10,"Atteint si un plan d'action validé par la Direction Ravinala, par rapport à la diminution des consommations énérgetiques est mise en place",0,
00012,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00012,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00012,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00016,2023,Robustesse Opérationnelle,Repect des délais et assure la fiabilité de données comptables,25,Clôture mensuelle livrée avant le 11 du mois m+1,0,
00016,2023,Robustesse Opérationnelle,Passage aux normes IFRS,40,Disponibilité de données et pièces comptables à retraiter,0,
00016,2023,Robustesse Opérationnelle,Suivi avances et acomptes fournisseurs ainsi que les comptes débiteurs,10,Compte nettoyé et expliqué,0,
00016,2023,Robustesse Opérationnelle,,0,,0,
00016,2023,Performance Financière,Assure la régularité des factures fournisseurs,10,Facture fournisseur en bon et due forme,0,
00016,2023,Performance Financière,Optimisation l'utilisation des crédits fournisseurs,10,Amélioration de la situation de trésorerie,0,
00016,2023,Performance Financière,,0,,0,
00016,2023,Performance Financière,,0,,0,
00016,2023,Responsabilité Sociétale d'Entreprise,Baisse des consommations papiers,5,Baisse de 20% en papier par rapport à l'année 2022,0,
00016,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00016,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00016,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00018,2023,Robustesse Opérationnelle,"DISPONIBILITE DES DIVERS EQUIPEMENTS
OPTIMISATION DES OUVERTURES ET FERMETURES DES EQUIPEMENTS D'ACCES",10,"RAPPORT D'ACTIVATION ET DES DESACTIVATION DES EQUIPEMENTS DIVERS
DISPONIBILITES DES INFORMATIONS SUR L'UTILISATION DES EQUIPEMENTS D'ACCES",0,
00018,2023,Robustesse Opérationnelle,"COORDINATION DES ACTIVITES ENTRE LES ENTITES EXTERNES, LES ORGANES INTERNES, CAS D'ANOMALIES",10,RAPPORTS D'ENREGISTREMENT DES TICKETS,0,
00018,2023,Robustesse Opérationnelle,"DISPONIBILITE DES RAPPORTS PERIODIQUES
SUPERVISION, SURVEILLANCE, GESTION DES DONNEES DU CCTV",20,"DISPONIBILITE DES ETATS PERIODIQUES SUIVANT LES DEADLINES FIXES:
- A CHAQUE FIN DE VACATION -> RAPPORT FIN DE VACATION
- FIN DE VACATION DE J7 DE LA SEMAINE OBSERVEE -> RAPPORT HEDBO
DISPONIBILITES DES DONNEES D'EXTRACTION ET DE VISIONNAGE à j+3",0,
00018,2023,Robustesse Opérationnelle,"FLUIDITE DES TRAITEMENTS DES PAX (ARRIVEE ET DEPART)
OPTIMISATION DES OUVERTURES ET FERMETURES DES EQUIPEMENTS D'ACCES",10,DISPONIBILITE DES INFORMATIONS SUR LES TEMPS DE TRAITEMENTS ET D'ATTENTE DES PAX A CHAQUE FIN DE VACATION -> RAPPORT FIN DE VACATION,0,
00018,2023,Performance Financière,DISPONIBILITE DES INFORMATIONS ET SUIVI DES UTILISATIONS DES DIVERS EQUIPEMENTS MIS A DISPOSITION PAR RAVINALA,15,RAPPORT DE FIN DE VACATION,0,
00018,2023,Performance Financière,DISPONIBILITE DES INFORMATIONS ET SUIVI DES TEMPS D'UTILISATION DES BANQUES D'ENREGISTREMENT,15,COMPTE RENDU D'UTILISATION DES BANQUES D'ENREGISTREMENTS VALIDES (TNR) PAR LES COMPAGNIES AERIENNES ET TRANSMIS AU SERVICE FACTURATION,0,
00018,2023,Performance Financière,,0,,0,
00018,2023,Performance Financière,,0,,0,
00018,2023,Responsabilité Sociétale d'Entreprise,SUPERVISION DU FIRST BAG LAST BAG (FBLB)**,10,MISE EN MARCHE DU FBLB ET GESTION DES INFORMATIONS DE LIV. BAG. PAR L'AOCC,0,
00018,2023,Responsabilité Sociétale d'Entreprise,DISPONIBILITE DU PLANNING DE ROTATION MENSUEL DE L'EQUIPE COORDO AOCC,10,PLANNING DE ROTATION MENSUEL TOUS LES 20 DU MOIS,0,
00018,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00018,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00036,2023,Robustesse Opérationnelle,"Avoir des infrastructures propres (TC, TB, TRM, PKG)",25,atteint si évaluation moyenne mensuelle SPM supérieure à 7/10,0,
00036,2023,Robustesse Opérationnelle,Structuration et suivi des informations opérationnelles,35,"atteint si:
- une fiche de suivi disponible et à jour pour chaque activité; 
- disponibilité d'un tableau de service mensuel M+1; 
- moins de trois réclamations/ semaine pour le rapport journalier",0,
00036,2023,Robustesse Opérationnelle,OTP 15 mn,10,atteint si supérieur ou égal à 85%,0,
00036,2023,Robustesse Opérationnelle,,0,,0,
00036,2023,Performance Financière,"Réaliser le contrôle de la disponibilité des informations (arrivée, départ, salle d'embarquement)",25,atteint si taux de disponibilité de l'information supérieur à 94%(Rapport de qualité de service - Indicateurs de performance - item 6 et 7),0,
00036,2023,Performance Financière,,0,,0,
00036,2023,Performance Financière,,0,,0,
00036,2023,Performance Financière,,0,,0,
00036,2023,Responsabilité Sociétale d'Entreprise,Atteinte des seuils pour les indicateurs ASQ,10,atteint si évaluation de 5 items supérieure à la note 4,0,
00036,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00036,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00036,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00039,2023,Robustesse Opérationnelle,Dresser une historique d'interventions des GE et proposer une amélioration du plan de maintenance pour garantir leur disponibilité,25,Disponibilité des GE à 96%,0,
00039,2023,Robustesse Opérationnelle,"Superviser l'activité des prestataires.
Vérification des travaux de sous-traitant et suivi maintenance préventive par rapport au contrat",15,Mise en place d'un calendrier d'intervention des sous-traitants.,0,
00039,2023,Robustesse Opérationnelle,Pilotage des FNA des services CFA et Batiments/Infrastructures,10,Clôture à 80% au 01/12/23,0,
00039,2023,Robustesse Opérationnelle,Ticketing AOCC,10,Attribution de BI dans la GMAO à chaque Ticket et clôture à 80% au 01/12/23,0,
00039,2023,Performance Financière,Assurer une économie de 5% sur le budget de service pour la réalisation des tâches,15,Economie de 5% durant l'année 2023,0,
00039,2023,Performance Financière,"Garantir la disponibilité des PDR et stock de securité (Consommables, carburants, etc..) : Identification des PDR stratégique et constitution des stock",15,"0 arrêt pour non disponibilité des PDR
Sans rupture des stock de securité et PDR",0,
00039,2023,Performance Financière,,0,,0,
00039,2023,Performance Financière,,0,,0,
00039,2023,Responsabilité Sociétale d'Entreprise,"Garantir la qualité des travaux de Maintenance (propreté durant et après les interventions) et éviter l'emission de nuisances sonores (bruits, alarmes, ..)",8,0 réclamation par rapport à la propreté et /ou nuisances (sonore) pendant et après les travaux,0,
00039,2023,Responsabilité Sociétale d'Entreprise,Garantir la Sécurité des intervenants (Maintenance Interne et sous traitants) durant les opérations de Maintenance : port d'EPIs et application des régles de sécurité,8,Atteint si 0 accidents de travail durant l'année 2023 (sous-traitants et techniciens internes de Ravinala),0,
00039,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00039,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00052,2023,Robustesse Opérationnelle,"Avoir des infrastructures propres (TC, TB, TRM, PKG)",20,atteint si évaluation moyenne mensuelle SPM supérieure à 7/10,0,
00052,2023,Robustesse Opérationnelle,Structuration et suivi des informations opérationnelles,35,"atteint si:
- une fiche de suivi disponible et à jour pour chaque activité; 
- disponibilité d'un tableau de service mensuel M+1; 
- moins de trois réclamations/ semaine pour le rapport journalier",0,
00052,2023,Robustesse Opérationnelle,OTP 15 mn,20,atteint si supérieur ou égal à 85%,0,
00052,2023,Robustesse Opérationnelle,,0,,0,
00052,2023,Performance Financière,"Réaliser le contrôle de la disponibilité des informations (arrivée, départ, salle d'embarquement)",25,atteint si taux de disponibilité de l'information supérieur à 94%(Rapport de qualité de service - Indicateurs de performance - item 6 et 7),0,
00052,2023,Performance Financière,,0,,0,
00052,2023,Performance Financière,,0,,0,
00052,2023,Performance Financière,,0,,0,
00052,2023,Responsabilité Sociétale d'Entreprise,Atteinte des seuils pour les indicateurs ASQ,10,atteint si évaluation de 5 items supérieure à la note 4,0,
00052,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00052,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00052,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00075,2023,Robustesse Opérationnelle,Réussir les opérations d'accostage et de désaccostage sans incident,30,Zéro notification d'incident (mensuel) par les compagnies,0,
00075,2023,Robustesse Opérationnelle,Assurer la supervision technique des passerelles,30,Check-list PBB réalisé et envoyé avant utilisation passerelle (quotidien),0,
00075,2023,Robustesse Opérationnelle,,0,,0,
00075,2023,Robustesse Opérationnelle,,0,,0,
00075,2023,Performance Financière,Assurer la disponibilité de la passerelle (qualité de service de l'autorité concédante),30,Taux de disponibilité des passerelles supérieur à 85% (trimestriel),0,
00075,2023,Performance Financière,,0,,0,
00075,2023,Performance Financière,,0,,0,
00075,2023,Performance Financière,,0,,0,
00075,2023,Responsabilité Sociétale d'Entreprise,Garantir la propreté des passerelles,20,Atteint si note SPM passerelle supérieure ou égale au seuil,0,
00075,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00075,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00075,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00095,2023,Robustesse Opérationnelle,"Avoir des infrastructures propres (TC, TB, TRM, PKG)",20,atteint si évaluation moyenne mensuelle SPM supérieure à 7/10,0,
00095,2023,Robustesse Opérationnelle,Structuration et suivi des informations opérationnelles,35,"atteint si:
- une fiche de suivi disponible et à jour pour chaque activité; 
- disponibilité d'un tableau de service mensuel M+1; 
- moins de trois réclamations/ semaine pour le rapport journalier",0,
00095,2023,Robustesse Opérationnelle,OTP 15 mn,10,atteint si supérieur ou égal à 85%,0,
00095,2023,Robustesse Opérationnelle,,0,,0,
00095,2023,Performance Financière,"Réaliser le contrôle de la disponibilité des informations (arrivée, départ, salle d'embarquement)",25,atteint si taux de disponibilité de l'information supérieur à 94%(Rapport de qualité de service - Indicateurs de performance - item 6 et 7),0,
00095,2023,Performance Financière,,0,,0,
00095,2023,Performance Financière,,0,,0,
00095,2023,Performance Financière,,0,,0,
00095,2023,Responsabilité Sociétale d'Entreprise,Atteinte des seuils pour les indicateurs ASQ,10,atteint si évaluation de 5 items supérieure à la note 4,0,
00095,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00095,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00095,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00100,2023,Robustesse Opérationnelle,"Avoir des infrastructures propres (TC, TB, TRM, PKG)",20,atteint si évaluation moyenne mensuelle SPM supérieure à 7/10,0,
00100,2023,Robustesse Opérationnelle,Structuration et suivi des informations opérationnelles,35,"atteint si:
- une fiche de suivi disponible et à jour pour chaque activité; 
- disponibilité d'un tableau de service mensuel M+1; 
- moins de trois réclamations/ semaine pour le rapport journalier",0,
00100,2023,Robustesse Opérationnelle,OTP 15 mn,10,atteint si supérieur ou égal à 85%,0,
00100,2023,Robustesse Opérationnelle,,0,,0,
00100,2023,Performance Financière,"Réaliser le contrôle de la disponibilité des informations (arrivée, départ, salle d'embarquement)",25,atteint si taux de disponibilité de l'information supérieur à 94%(Rapport de qualité de service - Indicateurs de performance - item 6 et 7),0,
00100,2023,Performance Financière,,0,,0,
00100,2023,Performance Financière,,0,,0,
00100,2023,Performance Financière,,0,,0,
00100,2023,Responsabilité Sociétale d'Entreprise,Atteinte des seuils pour les indicateurs ASQ,10,atteint si évaluation de 5 items supérieure à la note 4,0,
00100,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00100,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00100,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00115,2023,Robustesse Opérationnelle,"A la demande des responsables de projets, contribuer à l'élaboration d'un descriptif sommaire exhaustif des travaux pour chaque consultation de type conception-construction",30,atteint si au moins 95% des travaux à réaliser ont été prévus dans les descriptifs sommaires des dossiers de consultation traités,0,
00115,2023,Robustesse Opérationnelle,"Suivant nécessité, être le représentant du Département Technique pour les tâches annexes confiées à Njaka (inventaires, préparation et suivi des autorisations d'accès, supervision des interventions etc.)",20,atteint si Njaka a pu réaliser les tâches annexes qui lui ont été confiées conformément aux instructions reçues,0,
00115,2023,Robustesse Opérationnelle,Assurer le classement et nommage correct et systématique des fichiers de travail dans les dossiers partagés de la DTE conformément aux dispositions mises en place,20,atteint si les fichiers de travail sont convenablement classés et nommés dans les dossiers partagés de la DTE,0,
00115,2023,Robustesse Opérationnelle,,0,,0,
00115,2023,Performance Financière,"En relation avec les responsables de projets, contribuer à challenger les offres en conception-construction, en vérifiant leur métré",20,atteint lorsque l'ensemble des offres financières de type conception-construction a fait l'objet d'une vérification et optimisation en terme de métré,0,
00115,2023,Performance Financière,,0,,0,
00115,2023,Performance Financière,,0,,0,
00115,2023,Performance Financière,,0,,0,
00115,2023,Responsabilité Sociétale d'Entreprise,S'impliquer dans la démarche RSE à travers les participations volontaires aux actions sociales en environnementales de Ravinala Airports,10,atteint si le taux de participation volontaire aux actions RSE pour l'année 2023 est au moins à 50%,0,
00115,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00115,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00115,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00119,2023,Robustesse Opérationnelle,Assurer la rédaction des articles lors de la Convention Collective,10,les modifications de la Convention Collective sont rédigées en français et malagasy,0,traduction en Malagasy à acter. Deadline : début avril 2024
00119,2023,Robustesse Opérationnelle,Rédiger entièrement les projets de réponses (VF et VM) aux requettes des DPs et les procès verbaux de rencontre entre DG et DP et lors de la journée d'entreprise,10,"atteint si différents formats d'évenements d'écoute des collaborateurs sont formellement proposés et validés par la Direction génerale et programmés avant le 31/12/2023
Les projets des réponses sont présentés et validés à J - 2 de chaque réunion et le procès verbalà J + 2 de chaque rencontre/ évenements",0,"les PV des réunions mensuelles sont disponibless et consultables dans le partageur RH.
Les PV des journées d'entreprises sont disponibles et consultables."
00119,2023,Robustesse Opérationnelle,"Mise à jour des slides de communication RH (assurance santé, voyage congé…)",25,atteint si les slides sont à jour et disponibles pour les collaborateurs (anciens et nouveaux).,0,les slides ont été mis à jour et partagés à tous les collaborateurs à travers les séances des 2ème mercredi et 4ème vendredi du mois
00119,2023,Robustesse Opérationnelle,,0,,0,
00119,2023,Performance Financière,Respecter le budget RH en étant un business partner pour les autres directions,30,"atteint si :
afin de faciliter le contrôle de la consommation de repas versus planning et présence au travail est mis en place avant le 30 juin 2023
Une procédure d'optimisation du transport du personnel est mise en place au 31 juillet 2023",0,"- L'optimisation du transport : étude de fasabilité faite (exemples : réduction du nombre de cars, revue des trajets par car, etc.) => à déployer au 01/01/2024
- Consommation de repas : réception des planning de rotation des équipes des différents départements => facilitation du suivi de la véracité des données.
Des outils ont été mis en place mais à mettre à jour régulièrement"
00119,2023,Performance Financière,,0,,0,
00119,2023,Performance Financière,,0,,0,
00119,2023,Performance Financière,,0,,0,
00119,2023,Responsabilité Sociétale d'Entreprise,Participer à la réalisation de Plan d'action RH se rapportant au label BTPW en vue de réduire le Turn over,30,"atteint si le Turn Over est inférieur à 6,7%",0,"Toavina s'implique beaucoup beaucoup dans les propositions d'idées, les études de mise en place et l'organisation de certains évènements visant à renforcer le sentiment d'appartenance des employés à la Société :
RSE, orientatio scolaire et professionelle, préparation départ à la retraite du mois de décembre.
Cependant, les sens de l'initiative et d'analyse sont à développer et le renforcement des suivis et le verouillage des évenements sont requis."
00119,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00119,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00119,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00120,2023,Robustesse Opérationnelle,Fluidité des informations,15,"Le CDT est informé à temps et que les informations, évènements sont enregistrés",0,
00120,2023,Robustesse Opérationnelle,"Propreté de l'aéroport (aérogare, PKG auto, TRM, Bande piste, Bureau Ravinala, Espace vert côté ville)",20,"Les réclamations des usagers sont <-2 par mois, et que les cahiers et/ou fichiers d'enregistrement soient remplis à temps",0,
00120,2023,Robustesse Opérationnelle,"Assurer la véracité des enregistrements tels que les FSA, les divers rapports utiles à la facturation et au qualité des services",20,Nombre de version correctif et réclamation des utilisateurs inférieurs à 4 par mois,0,
00120,2023,Robustesse Opérationnelle,Esprit d'équipe,5,Pas de réclamation de la part des collaborateurs,0,
00120,2023,Performance Financière,equilibrage des effectifs et des activités,10,Baisse d'heures supplémentaires pour les agents et disponibilité suivant le programme de vol,0,
00120,2023,Performance Financière,Optimiser l'utilisation des matériels et produits pour le nettoyage de l'aérogare,15,Réduction de 5% au niveau des demandes d'appro en équipements et produit d'entretien,0,
00120,2023,Performance Financière,Economie d'énergie,5,Pas de réclamation sur l'utilisation abusive des matériels électroniques et éclairages : baisse de la consommation électrique (facture de la JIRAMA),0,
00120,2023,Performance Financière,,0,,0,
00120,2023,Responsabilité Sociétale d'Entreprise,Participation effective sur les divers programmes initiés par Ravinala Airports,10,présent,0,
00120,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00120,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00120,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00121,2023,Robustesse Opérationnelle,Réussir les opérations d'accostage et de désaccostage sans incident,30,atteint si zéro notification d'incident (mensuel) par les compagnies,0,
00121,2023,Robustesse Opérationnelle,Assurer la supervision technique des passerelles,30,atteint check-list PBB réalisé et envoyé avant utilisation passerelle (quotidien),0,
00121,2023,Robustesse Opérationnelle,,0,,0,
00121,2023,Robustesse Opérationnelle,,0,,0,
00121,2023,Performance Financière,Assurer la disponibilité de la passerelle (qualité de service de l'autorité concédante),30,atteint si taux de disponibilité des passerelles supérieur à 85% (trimestriel),0,
00121,2023,Performance Financière,,0,,0,
00121,2023,Performance Financière,,0,,0,
00121,2023,Performance Financière,,0,,0,
00121,2023,Responsabilité Sociétale d'Entreprise,Garantir la propreté des passerelles,10,atteint si note SPM passerelle supérieure ou égale au seuil,0,
00121,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00121,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
